Drug Name,Drug Class,Indication,Side Effects,Dosage Form,Dosage Strength,Prescription Status,Manufacturer,Approval Year,Description,Price (USD),Market Status
Drug-7690,Antiviral,Wound Cleaning,"Fatigue, Drowsiness, Stomach Upset",Gel,356 mg,Prescription,BioSynth,2021,A antiviral used for wound cleaning.,414.14,Discontinued
Drug-2191,Sedative,Anxiety Reduction,Nausea,Injection,375 mg,Prescription,PharmaCorp,2009,A sedative used for anxiety reduction.,388.12,Active
Drug-3428,Antihypertensive,Virus Management,"Headache, Fatigue",Gel,394 mg,Prescription,BioSynth,2015,A antihypertensive used for virus management.,386.15,Active
Drug-8262,Antibiotic,Allergy Relief,"Stomach Upset, Nausea, Headache",Tablet,405 mg,OTC,HealthPlus,2009,A antibiotic used for allergy relief.,271.97,Active
Drug-3422,Antidiabetic,Wound Cleaning,"Headache, Drowsiness",Tablet,370 mg,OTC,BioSynth,2012,A antidiabetic used for wound cleaning.,410.32,Active
Drug-5024,Antihypertensive,Blood Pressure Control,Fatigue,Capsule,158 mg,OTC,Global Remedies,2013,A antihypertensive used for blood pressure control.,159.84,Active
Drug-2393,Analgesic,Wound Cleaning,"Headache, Dizziness, Stomach Upset",Gel,158 mg,OTC,PharmaCorp,1991,A analgesic used for wound cleaning.,375.05,Discontinued
Drug-7147,Antiviral,Depression,"Fatigue, Stomach Upset, Headache",Capsule,377 mg,Prescription,HealthPlus,2001,A antiviral used for depression.,154.68,Active
Drug-7410,Antiviral,Diabetes,Fatigue,,708 mg,OTC,HealthPlus,1990,A antiviral used for diabetes.,264.06,Active
Drug-8124,Sedative,Infection,"Dizziness, Fatigue",Syrup,463 mg,Prescription,MediLife,2003,A sedative used for infection.,446.07,Active
Drug-8739,Antihistamine,Allergy Relief,Headache,Gel,534 mg,Prescription,PharmaCorp,2003,A antihistamine used for allergy relief.,471.24,Discontinued
Drug-6030,Antibiotic,Fungal Infection,"Headache, Nausea",Tablet,138 mg,OTC,Global Remedies,2004,A antibiotic used for fungal infection.,25.35,Discontinued
Drug-6837,Antihistamine,Wound Cleaning,"Stomach Upset, Fatigue",Cream,,Prescription,MediLife,2009,A antihistamine used for wound cleaning.,286.12,Active
